feat_04,feat_01,feat_09,feat_05,feat_03,feat_10,feat_02,feat_08,feat_07,feat_06
0.5129,-0.9717,-1.455,26.2193,28.5172,Z,-0.7341,16.4515,B,42.8487
0.4593,-1.8014,1.0667,56.7139,29.3396,Z,-0.3726,24.8226,A,61.6092
0.5635,0.4062,2.4891,43.3757,8.791,Y,-0.9665,16.4767,A,14.5537
0.9214,-1.1413,-0.5185,58.7136,9.3169,X,0.7625,24.9085,B,37.5376
0.8102,-0.4395,0.0746,31.5721,25.381,X,-1.5174,19.7812,A,53.7606
0.4151,0.9116,-0.251,56.9227,32.4339,X,-0.3133,24.2788,B,31.3261
0.8173,-0.8186,0.3508,47.6306,30.5067,Y,1.9511,17.2933,B,50.7258
0.8605,0.8785,0.6445,58.076,32.2228,Y,0.0516,17.4736,A,63.1332
0.774,-0.6812,1.2872,40.7429,33.9597,Y,0.4679,14.2377,B,34.0104
0.5514,1.4907,-0.9874,43.8154,30.0452,X,-0.1467,22.8899,B,36.0868
0.8993,1.3251,1.5716,72.4245,26.3951,Z,-1.1744,24.689,B,34.5841
0.492,-0.4714,-0.9315,41.7005,28.2122,Z,-0.0327,30.5959,A,50.8639
0.106,-0.2132,0.2771,42.9397,27.5862,Y,0.4065,26.4526,B,34.2573
0.2721,-0.8319,1.1586,47.2342,28.9963,X,-1.0226,21.2489,A,63.2941
0.6575,0.2,0.7132,39.7744,30.1593,X,0.3416,18.9451,B,33.7469
0.3791,1.1492,-0.9386,61.9046,25.9956,Z,1.2449,21.9435,B,21.8198
0.4228,-1.4468,-0.7019,67.2501,10.685,X,1.0697,19.8613,A,24.5259
0.4022,0.9174,-0.4623,42.9589,26.9793,Y,-1.5827,27.3174,B,23.9318
0.192,-1.3239,-0.0512,32.7397,30.5947,Z,-0.9753,24.7197,A,59.1257
0.0935,-0.8597,1.147,61.7198,29.781,Z,-1.6137,15.8162,B,48.4733
0.0491,-1.7877,-1.2918,61.0839,9.3727,Y,1.0712,16.5618,B,45.1821
0.6725,2.1049,0.4667,58.2166,29.8539,Z,0.6103,26.8364,B,29.2993
0.3241,0.0587,0.61,61.5651,28.9204,X,0.7031,21.5404,B,33.902
0.4569,0.2448,0.5583,41.3247,28.7751,X,-0.8784,18.8412,B,54.2291
0.9352,-0.6761,0.4663,48.315,26.6345,Y,-1.1667,25.9317,A,53.607
0.6267,1.067,1.5183,36.1589,29.9407,Z,0.0769,18.062,B,40.0329
0.8107,-2.1032,0.4878,35.8184,13.6911,X,0.101,18.6011,A,26.9531
0.7623,0.0267,0.857,59.811,13.961,Z,-0.8543,17.6941,A,28.1264
0.9537,2.2067,0.5635,43.2809,12.6436,X,0.1422,10.1916,A,22.3207
0.0668,-0.3821,1.7931,72.7957,11.4116,Y,0.6446,24.3213,A,21.4602
0.3841,0.0171,-1.8998,50.7418,8.647,X,0.228,13.9546,A,18.23
0.9496,0.6722,1.2821,43.5958,32.8855,Y,-1.0394,17.1565,A,66.2164
0.4644,-0.8115,-0.261,57.9789,29.8877,X,-2.1127,16.2806,B,35.0984
0.9478,0.0228,-0.2807,68.0126,9.8622,X,-0.2589,23.635,A,22.123
0.1849,0.961,-0.9695,54.8613,29.4175,X,0.1644,19.6571,A,58.9946
0.0602,0.1944,-1.8687,37.8285,30.1839,X,-0.2601,20.0771,A,65.0663
0.8955,0.371,-0.3819,53.71,29.1296,X,-0.4284,11.6027,B,39.5083
0.4113,-0.3494,-0.6873,63.756,29.8324,Z,-0.6914,19.5628,B,40.769
0.5083,0.3156,0.4942,45.0676,7.8308,Z,0.7156,12.6183,B,58.7283
0.9363,0.0558,-1.4723,42.2636,29.2527,Z,-0.0524,21.536,A,57.0739
0.2194,1.4551,1.4316,60.1645,34.5611,X,0.1232,21.8336,A,69.6409
0.9682,0.7244,0.2719,51.3997,29.8608,X,-0.9715,19.913,A,55.889
0.3966,-0.2437,-0.2479,38.9746,29.5227,X,-0.6204,30.2157,B,43.4985
0.2474,-2.4468,-0.7094,46.2025,11.0647,X,0.1638,22.6386,A,19.6232
0.2337,0.7157,-0.7872,42.4434,11.4162,X,-1.0054,22.9791,A,25.4895
0.5184,0.7553,-1.1301,52.9627,27.7725,Y,-1.2593,20.7116,B,33.4292
0.467,-0.9169,-0.5444,51.0968,29.5857,X,-0.3292,19.0362,B,26.8743
0.8861,-1.9984,0.0061,61.5045,31.8366,Y,1.201,24.8296,B,32.5904
0.0508,-1.1418,-0.1774,57.0967,30.5397,Y,0.191,25.5072,A,59.1937
0.044,0.9262,-1.4145,34.3647,10.2439,Y,1.4596,13.4942,B,40.3652
0.1528,-1.0648,-0.2658,54.0699,33.108,X,-0.1315,25.2724,B,31.8765
0.6057,-0.4595,-0.8932,58.9693,28.6445,Z,-0.3101,22.5691,A,58.3503
0.7813,0.2204,0.1599,54.5588,30.1655,X,-1.3922,24.8035,A,60.2074
0.4798,1.2244,1.8647,60.3006,28.9599,Z,-0.5762,22.3309,A,55.8307
0.6138,-0.0182,0.625,44.5042,32.9806,Z,1.4352,13.7787,A,65.2647
0.6426,-0.1004,-0.3131,40.4917,6.0963,Z,0.3276,14.1354,B,37.9965
0.0193,-0.5488,-1.6249,59.3007,8.6597,Y,0.7331,29.123,A,16.291
0.2463,1.6307,-1.4147,39.3454,8.9417,Y,0.7051,21.2621,A,16.9086
0.9978,1.066,-1.6867,28.4046,11.3271,Z,-0.0095,12.9137,B,52.9417
0.3308,-0.0951,0.726,60.253,11.2126,Z,-0.2048,21.7407,B,22.4949
0.9466,-1.3966,-0.7651,42.7582,12.7904,Z,0.1192,18.1894,A,27.088
0.4923,-0.7903,0.0626,46.9393,26.8519,Z,0.6713,10.7829,A,55.0086
0.2226,0.5795,-0.622,36.0202,11.501,X,0.4579,8.5491,A,21.847
0.0024,-0.7215,0.0912,36.7447,29.4134,X,0.492,11.9867,B,33.5347
0.2176,0.8923,1.4017,38.4341,8.6687,Y,0.1541,21.359,A,15.5233
0.3215,0.3615,-0.6849,46.3935,31.0791,Y,-0.7699,19.7596,A,62.7229
0.4393,0.2927,-0.341,53.7,8.1597,Z,-0.2616,18.7542,B,39.3431
0.4472,0.6534,-0.8063,27.0219,5.8462,X,-0.9415,21.4234,A,11.4923
0.5483,0.4986,0.8746,57.5217,29.2596,X,1.0047,23.0057,A,60.5757
0.4741,-0.8552,-1.0257,38.18,27.0045,Z,-2.102,9.4875,A,59.3195
0.0329,-0.3258,-1.133,39.3369,28.7022,Z,-0.2179,18.4942,B,35.6181
0.267,2.3398,-1.3877,56.7786,30.7431,X,2.3872,15.8604,A,63.1721
0.962,-1.2079,-1.4085,49.2537,30.624,X,-0.3415,13.834,A,61.1785
0.0274,-0.4745,0.4709,34.6357,13.1738,Z,-1.1348,17.264,B,47.1742
0.7341,1.0657,2.5691,68.4459,29.6007,Y,-0.018,19.3856,A,58.8573
0.4764,-0.1593,-0.9954,41.3938,6.9333,X,1.2894,18.6682,B,47.392
0.7069,-0.8121,0.9515,52.4732,28.4878,Y,-0.1605,12.7267,A,55.2622
0.3325,-1.3232,0.2511,51.9989,28.1612,Y,0.6133,17.5843,A,54.5091
0.3701,0.536,-1.102,64.1133,27.5643,X,0.1,30.0792,B,51.1181
0.5168,1.0199,-0.2767,45.4433,10.8707,Z,-0.3729,14.7272,B,38.8345
0.9097,1.3999,-0.2329,60.0809,8.7095,Y,3.1503,11.5645,B,38.6069
0.3284,0.0538,-0.6907,42.5811,6.0453,Z,0.0712,21.3762,A,10.0837
0.0859,1.045,1.9306,61.2213,11.3938,X,-0.5372,22.9831,B,29.0678
0.0383,-1.0329,-1.9061,42.3702,29.7771,Z,-0.49,22.3202,A,58.7636
0.8816,0.168,0.381,46.3779,30.7137,Z,0.3806,14.4014,B,35.7555
0.3137,-0.6774,0.3315,68.9597,10.2114,Y,0.4092,24.9905,B,37.0497
0.1195,0.1738,-0.5796,53.1697,31.2633,X,0.772,16.0733,A,61.6723
0.5964,0.7507,0.1495,51.0976,30.076,Z,0.1411,14.3256,A,61.6395
0.8449,1.0697,0.8776,72.4205,12.4724,Z,-1.4316,16.9576,B,39.836
0.5995,-0.9899,0.1527,53.6136,30.85,X,0.5319,19.4565,A,60.9019
0.1517,1.2675,0.4173,41.8386,30.7841,X,-0.309,23.5705,B,47.9202
0.4057,-0.4744,0.6929,57.3463,10.8197,X,-0.2861,23.1192,B,39.3574
0.2665,-1.0257,-2.0321,38.1832,27.0867,X,-1.4829,19.8875,B,38.4857
0.0166,-0.1706,1.4784,61.2832,29.6707,Z,-0.5735,24.6645,B,33.3546
0.9657,-1.4626,2.2783,62.0598,29.4814,X,-0.7268,20.4074,B,43.2189
0.4592,0.0046,0.9808,44.2704,10.4151,Z,-0.0365,24.4799,A,20.4353
0.1347,0.2897,1.0137,43.721,27.2826,Z,-1.4534,12.9807,A,52.1287
0.8849,-0.2004,-1.4082,51.765,33.2682,Z,0.0507,12.1291,B,54.0135
0.9851,0.5362,-0.1184,50.1416,30.2088,X,0.1243,23.8786,B,39.741
0.816,-0.3147,-0.812,40.2231,27.5774,Y,-1.1198,13.0496,B,28.0212
0.2536,0.0041,-0.5872,55.6809,6.5822,X,-0.6247,18.4924,A,16.4536
0.1905,-1.4407,0.967,29.5812,29.4374,Y,-0.8576,19.5095,A,59.8888
0.5251,0.0427,-0.8039,45.6714,29.8206,Y,0.9076,17.5602,A,63.219
0.5835,-0.851,-0.1301,45.9606,28.5634,Z,-2.5283,17.7326,A,58.7206
0.8784,-0.4498,-1.9086,47.2673,10.1842,Z,-0.3433,26.9631,A,23.3477
0.9672,-0.0937,-0.1584,53.0722,8.7176,Y,-1.6605,7.352,B,27.8386
0.9104,0.191,0.09,37.7198,31.1033,Z,-0.4317,24.4194,B,45.2291
0.3421,-1.6467,-0.7048,55.8852,8.5509,Y,0.8467,31.4759,A,16.6049
0.5856,-1.5634,-0.7199,48.1985,29.923,Z,-0.6306,20.1179,A,61.2803
0.1239,-0.302,1.8864,43.4978,31.9577,Z,0.1384,19.9051,B,34.5921
0.5189,0.4744,-1.2097,36.3317,15.1433,X,-0.8448,23.6319,A,35.6977
0.0708,0.3602,-1.0506,38.1689,7.9847,Y,1.9395,29.1443,A,13.5224
0.1113,0.8928,-0.809,53.6032,29.071,Y,0.9132,14.0598,A,60.4945
0.1219,1.3011,1.1988,40.3615,28.3203,Z,1.1272,20.4384,B,49.4577
0.3014,0.4964,2.1015,50.642,11.5687,Z,-1.3282,19.0689,B,49.6998
0.3097,-0.0199,0.3322,60.6198,7.7038,Z,-1.1011,22.7969,A,18.8035
0.705,-1.0315,-0.7173,60.3264,9.0313,X,1.0798,20.7959,A,18.9048
0.076,-0.9461,-0.4277,65.604,29.9408,Z,-0.1944,23.2983,A,61.412
0.1111,-0.4672,1.0648,47.0371,28.0426,X,-0.2579,17.8918,A,58.6446
0.6563,0.2675,-0.9111,39.1485,8.0853,Z,0.3338,20.245,B,38.9523
0.6728,0.2207,1.4529,60.2053,9.0488,Z,-1.2552,16.6483,B,42.5114
0.7104,0.0042,1.4166,53.096,25.7991,Z,0.7729,16.6785,B,36.935
0.7201,-0.1527,0.0702,61.2395,7.109,Z,0.0183,19.2923,A,12.8775
0.6629,0.6305,0.6461,50.1106,9.1739,Z,0.4792,19.29,A,19.1827
0.5526,0.2083,0.7497,61.9565,10.2965,Y,-0.6706,14.1376,A,18.8169
0.7414,0.2978,1.5542,58.4639,29.6285,Y,0.5132,27.8503,B,51.5544
0.0815,0.3084,-1.0515,57.1642,6.4521,X,-0.7049,19.3246,A,11.5216
0.2118,-0.5463,1.1812,55.0352,29.0724,Y,0.9544,13.0815,A,56.8817
0.7415,-1.0308,-0.3752,53.977,31.5969,X,1.1296,25.5077,B,47.4137
0.1926,0.4911,-0.7678,52.3304,11.1117,Z,0.9119,16.2586,A,21.9309
0.5308,0.4167,0.1027,52.2591,9.8425,Y,0.5165,22.5414,A,19.9846
0.2603,-0.22,-0.2143,59.9019,28.2253,Z,0.6338,19.9149,A,57.3766
0.4313,-0.4157,-0.9875,44.8802,11.2624,Z,-2.7059,21.2531,A,19.623
0.8342,2.2784,-1.5973,67.3569,8.8421,Y,0.8349,20.8551,A,21.7378
0.6606,-0.7592,-0.9421,48.9376,7.6615,Z,-0.274,17.1242,B,32.1264
0.4452,-0.2175,1.4524,59.8538,8.3956,X,0.0949,20.2047,A,19.1583
0.2735,0.2655,1.9626,49.0976,32.8967,Y,-0.2837,30.1655,B,49.5376
0.805,-1.1542,0.6501,47.5333,10.4404,X,-1.3911,8.812,B,36.1208
0.657,0.1172,1.1859,70.3224,12.3185,X,-0.5386,20.3298,A,26.1241
0.4399,1.7977,-0.5168,46.9066,29.0413,Y,0.6585,22.1749,B,56.2243
0.8693,0.9339,-0.0772,37.2278,31.8763,Z,1.4174,14.7386,B,36.3885
0.6925,0.6322,0.2828,42.8592,8.797,Z,-0.6229,13.1483,A,16.8609
0.9806,0.5924,-1.0813,46.8277,29.6851,Z,-0.904,30.7946,A,59.1877
0.6644,0.112,-0.9899,71.5519,34.9727,Z,1.4518,18.1425,A,71.0677
0.8999,0.9584,0.0972,52.0676,11.5343,Z,-0.8826,30.395,A,23.9115
0.5504,-0.1559,-0.3203,59.3471,28.9977,Y,2.0736,22.6788,A,54.5532
0.71,-0.4228,-1.0636,39.984,9.8304,X,0.0506,20.3807,B,36.1014
0.8424,0.102,0.3865,53.5261,30.6524,Y,-0.8834,22.3799,B,32.6164
0.0905,0.9057,-0.2633,56.7148,32.4209,Z,0.9843,23.175,A,66.3604
0.4742,0.3304,1.0214,68.0163,29.0217,Y,1.6933,25.8983,A,64.02
0.6056,0.6745,-0.0052,43.0373,26.5174,Z,-1.4347,22.1791,B,34.9292
0.0578,-2.0241,-0.3003,56.0349,9.4407,X,1.559,20.7231,B,42.645
0.7892,1.1931,0.1277,53.0258,10.0308,Y,-0.2814,20.8814,A,16.275
0.7155,2.3406,-0.172,39.7829,30.2191,X,1.4863,26.7596,B,62.5955
0.9362,1.3349,-0.668,49.8054,32.6334,Z,-0.3805,24.0848,B,34.3315
0.372,-0.3176,-0.402,47.3653,10.6334,Y,-1.5772,14.9899,B,51.0734
0.4692,-0.8484,0.7494,26.7463,11.6258,X,0.502,16.8219,B,39.5812
0.9119,0.2775,0.6465,55.9867,27.7978,Y,0.9266,21.6537,B,38.9859
0.4115,-0.987,1.2862,55.4024,31.7358,Y,2.096,16.8854,A,65.511
0.8344,0.7257,-1.693,45.6107,34.1924,Z,1.7236,18.1176,B,47.1519
0.4214,-0.5254,-0.3931,36.6144,11.5458,Z,0.6952,15.2204,A,23.8486
0.3378,0.9607,-0.4146,64.7988,10.5071,X,-0.2377,18.6918,A,20.7854
0.2773,1.3621,0.1718,52.66,30.308,X,-0.5207,22.1181,A,63.43
0.2135,-2.0323,-0.4522,60.167,33.5743,Z,-0.2949,24.9758,A,64.7214
0.4314,0.2928,-0.5132,64.1032,28.1456,Y,-0.8309,20.0462,B,44.0772
0.1616,-0.6983,0.783,44.7909,29.7778,X,-0.2746,30.3743,A,59.8898
0.828,-1.4098,0.1781,58.1215,30.9204,Y,-2.5445,19.6179,A,64.8447
0.9744,-0.6173,-1.1664,47.5885,31.488,Y,0.1789,35.9671,A,62.5718
0.0974,-0.2189,1.3345,49.3745,29.1253,Z,-0.0289,25.0083,A,57.3922
0.0548,1.0337,0.9968,49.1438,10.6146,Z,2.5659,22.4836,A,21.4652
0.0037,-1.5214,-0.574,49.9868,29.4442,Z,0.7587,17.5048,A,57.9748
0.9321,1.0508,0.8313,61.1396,10.2409,X,-0.4802,5.8775,A,23.6602
0.0738,2.0181,-0.7352,51.2383,29.7358,Z,0.5647,19.2243,A,57.6079
0.6802,0.5974,1.1257,48.4627,27.7168,Z,-1.2258,20.8911,B,28.4976
0.3038,0.5459,-0.2178,47.2346,29.9578,Y,-0.6027,29.6123,A,61.7094
0.1982,-0.0134,-0.8028,53.4131,31.7543,Z,-1.8676,13.1013,A,60.9352
